Fecha y Hora,Texto,Accuracy
2023-11-27 09:08:37,"normalize: minmax: MinMaxScaler var_thrs: VarianceThreshold add_features: FeatureUnion reducir_dimension: OptimalPCA: OptimalPCA model: RandomForestClassifier / {'model__max_depth': None, 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 200}",0.562610229276896
2023-11-27 09:16:59,"normalize: minmax: MinMaxScaler var_thrs: VarianceThreshold add_features: FeatureUnion reducir_dimension: OptimalPCA: OptimalPCA model: RandomForestClassifier / {'model__max_depth': None, 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 200}",0.5873015873015873
2023-11-27 09:21:24,"normalize: minmax: MinMaxScaler var_thrs: VarianceThreshold reducir_dimension: OptimalPCA: OptimalPCA model: RandomForestClassifier / {'model__max_depth': None, 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 200}",0.562610229276896
2023-11-27 09:30:59,"normalize: minmax: MinMaxScaler var_thrs: VarianceThreshold add_features: FeatureUnion reducir_dimension: OptimalPCA: OptimalPCA model: RandomForestClassifier / {'model__max_depth': None, 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 200}",0.5802469135802469
2023-11-27 10:02:58,"normalize: minmax: MinMaxScaler var_thrs: VarianceThreshold add_features: FeatureUnion reducir_dimension: OptimalPCA: OptimalPCA model: RandomForestClassifier / {'model__max_depth': None, 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 200}",0.5714285714285714
2023-11-27 10:11:42,"normalize: minmax: MinMaxScaler var_thrs: VarianceThreshold add_features: FeatureUnion reducir_dimension: OptimalPCA: OptimalPCA model: RandomForestClassifier / {'model__max_depth': None, 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 200}",0.5590828924162258
2023-11-27 10:20:54,"normalize: minmax: MinMaxScaler var_thrs: VarianceThreshold add_features: FeatureUnion reducir_dimension: OptimalPCA: OptimalPCA model: RandomForestClassifier / {'model__max_depth': None, 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 200}",0.5555555555555556
2023-11-27 10:29:52,"normalize: minmax: MinMaxScaler var_thrs: VarianceThreshold add_features: FeatureUnion reducir_dimension: OptimalPCA: OptimalPCA model: SVC / {'model__C': 0.1, 'model__degree': 5, 'model__kernel': 'linear'}",0.5696649029982364
2023-11-27 10:38:33,"normalize: minmax: MinMaxScaler var_thrs: VarianceThreshold add_features: FeatureUnion reducir_dimension: OptimalPCA: OptimalPCA model: SVC / {'model__C': 0.1, 'model__degree': 5, 'model__kernel': 'linear'}",0.5414462081128748
2023-11-27 10:52:49,"normalize: minmax: MinMaxScaler var_thrs: VarianceThreshold add_features: FeatureUnion reducir_dimension: OptimalPCA: OptimalPCA model: SVC / {'model__C': 0.1, 'model__degree': 5, 'model__kernel': 'linear'}",0.5749559082892416
2023-11-27 11:03:56,"normalize: minmax: MinMaxScaler var_thrs: VarianceThreshold add_features: FeatureUnion reducir_dimension: OptimalPCA: OptimalPCA model: SVC / {'model__C': 0.1, 'model__degree': 5, 'model__kernel': 'linear'}",0.5749559082892416
2023-11-28 18:18:50,"normalize: minmax: MinMaxScaler var_thrs: VarianceThreshold add_features: FeatureUnion reducir_dimension: OptimalPCA: OptimalPCA model: BaggingClassifier / {'model__estimator__C': 2, 'model__estimator__kernel': 'rbf', 'model__n_estimators': 30}",0.582010582010582
2023-11-28 18:49:24,"normalize: minmax: MinMaxScaler var_thrs: VarianceThreshold add_features: FeatureUnion reducir_dimension: OptimalPCA: OptimalPCA model: BaggingClassifier / {'model__estimator__C': 10, 'model__estimator__kernel': 'rbf', 'model__n_estimators': 30}",0.5908289241622575
2023-11-28 20:30:00,"normalize: minmax: MinMaxScaler var_thrs: VarianceThreshold add_features: FeatureUnion reducir_dimension: OptimalPCA: OptimalPCA model: BaggingClassifier / {'model__estimator__C': 5, 'model__estimator__kernel': 'rbf', 'model__n_estimators': 30}",0.5908289241622575
2023-11-28 22:06:47,"normalize: minmax: MinMaxScaler var_thrs: VarianceThreshold add_features: FeatureUnion reducir_dimension: OptimalPCA: OptimalPCA model: BaggingClassifier / {'model__estimator__C': 4, 'model__estimator__kernel': 'rbf', 'model__n_estimators': 60}",0.599647266313933
2023-11-29 08:51:28,"normalize: minmax: MinMaxScaler var_thrs: VarianceThreshold add_features: FeatureUnion reducir_dimension: OptimalPCA: OptimalPCA model: BaggingClassifier / {'model__estimator__C': 6, 'model__estimator__kernel': 'rbf', 'model__n_estimators': 90}",0.5978835978835979
2023-11-29 09:42:13,"normalize: minmax: MinMaxScaler var_thrs: VarianceThreshold add_features: FeatureUnion reducir_dimension: OptimalPCA: OptimalPCA model: BaggingClassifier / {'model__estimator__C': 10, 'model__estimator__kernel': 'rbf', 'model__n_estimators': 100}",0.599647266313933
2023-11-29 10:14:32,"normalize: minmax: MinMaxScaler var_thrs: VarianceThreshold add_features: FeatureUnion reducir_dimension: OptimalPCA: OptimalPCA model: BaggingClassifier / {'model__estimator__C': 10, 'model__estimator__kernel': 'rbf', 'model__n_estimators': 100}",0.599647266313933
2023-11-29 12:18:34,"normalize: minmax: MinMaxScaler var_thrs: VarianceThreshold add_features: FeatureUnion reducir_dimension: OptimalPCA: OptimalPCA model: BaggingClassifier / {'model__estimator__C': 10, 'model__estimator__kernel': 'rbf', 'model__n_estimators': 100}",0.599647266313933
